dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_description
2012-10-01 13:00:00 +0000 UTC,287.64,287.15,288.15,1007,93,4,50,99,light rain
2012-10-01 13:00:00 +0000 UTC,287.64,287.15,288.15,1007,93,4,50,99,mist
2012-10-01 14:00:00 +0000 UTC,288.17,287.15,289.15,1007,87,4,50,99,mist
2012-10-01 14:00:00 +0000 UTC,288.17,287.15,289.15,1007,87,4,50,99,light rain
2012-10-02 15:00:00 +0000 UTC,288.8,288.15,289.15,1007,87,5,40,99,moderate rain
2012-10-02 15:00:00 +0000 UTC,288.8,288.15,289.15,1007,87,5,40,99,mist
2012-10-02 15:00:00 +0000 UTC,288.8,288.15,289.15,1007,87,5,40,99,light rain
2012-10-02 16:00:00 +0000 UTC,289.52,289.15,290.15,1006,93,5,50,99,light rain
2012-10-02 17:00:00 +0000 UTC,290.11,289.15,290.93,1094,97,0,42,99,sky is clear
2012-10-02 18:00:00 +0000 UTC,291.6,291.15,292.15,1005,88,4,50,99,light rain
2012-10-02 19:00:00 +0000 UTC,292.58,291.15,294.26,1005,88,2,0,99,light rain
2012-10-02 20:00:00 +0000 UTC,294.04,292.15,296.15,1004,78,3,50,75,broken clouds
2012-10-02 21:00:00 +0000 UTC,294.74,293.15,296.15,1004,88,0,0,90,overcast clouds
2012-10-02 22:00:00 +0000 UTC,294.21,293.15,295.15,1094,91,0,36,99,sky is clear
2012-10-02 23:00:00 +0000 UTC,293.31,292.15,295.15,1004,73,1,170,99,light rain
2012-10-03 00:00:00 +0000 UTC,293.12,292.04,295.15,1094,95,0,39,99,sky is clear
2012-10-03 01:00:00 +0000 UTC,292.25,291.48,293.15,1004,94,2,90,99,light rain
2012-10-03 02:00:00 +0000 UTC,292.45,292.04,293.15,1004,94,0,0,99,light rain
2012-10-03 02:00:00 +0000 UTC,292.45,292.04,293.15,1004,94,0,0,99,mist
2012-10-03 03:00:00 +0000 UTC,292.11,292.04,292.15,1005,100,2,60,99,light rain
2012-10-03 04:00:00 +0000 UTC,291.72,290.93,292.15,1005,93,2,90,99,light rain
2012-10-03 04:00:00 +0000 UTC,291.72,290.93,292.15,1005,93,2,90,99,mist
2012-10-03 05:00:00 +0000 UTC,291.91,291.48,292.15,1005,93,2,90,90,overcast clouds
2012-10-03 06:00:00 +0000 UTC,291.91,291.48,292.15,1005,93,2,60,90,overcast clouds
2012-10-03 07:00:00 +0000 UTC,291.91,291.48,292.15,1004,93,2,30,90,overcast clouds
2012-10-03 08:00:00 +0000 UTC,291.91,291.48,292.15,1005,93,0,0,64,light rain
2012-10-03 09:00:00 +0000 UTC,291.91,291.48,292.15,1005,93,0,0,64,light rain
2012-10-03 10:00:00 +0000 UTC,291.91,291.48,292.15,1005,93,3,20,64,light rain
2012-10-03 11:00:00 +0000 UTC,291.91,291.48,292.15,1006,93,2,40,64,light rain
2012-10-03 11:00:00 +0000 UTC,291.91,291.48,292.15,1006,93,2,40,64,mist
2012-10-03 12:00:00 +0000 UTC,291.97,291.15,292.59,1006,100,1,70,68,mist
2012-10-03 13:00:00 +0000 UTC,291.97,291.15,292.59,1007,93,0,0,75,broken clouds
2012-10-03 14:00:00 +0000 UTC,293.28,292.15,295.37,1094,91,0,100,68,sky is clear
2012-10-03 17:00:00 +0000 UTC,295.9,295.15,297.15,1009,68,3,230,90,overcast clouds
